combine,number,0,mkt
s1236,6103,合邦,OTC
s1237,6104,創惟,OTC
s1238,6108,競國,TSE
s1239,6109,亞元,OTC
s1240,6111,大宇資,OTC
s1241,6112,邁達特,TSE
s1242,6113,亞矽,OTC
s1243,6114,久威,OTC
s1244,6115,鎰勝,TSE
s1245,6116,彩晶,TSE
s1246,6117,迎廣,TSE
s1247,6118,建達,OTC
s1248,6120,達運,TSE
s1249,6121,新普,OTC
s1250,6122,擎邦,OTC
s1251,6123,上奇,OTC
s1252,6124,業強,OTC
s1253,6125,廣運,OTC
s1254,6126,信音,OTC
s1255,6127,九豪,OTC
s1256,6128,上福,TSE
s1257,6129,普誠,OTC
s1258,6130,上亞科技,OTC
s1259,6133,金橋,TSE
s1260,6134,萬旭,OTC
s1261,6136,富爾特,TSE
s1262,6138,茂達,OTC
s1263,6139,亞翔,TSE
s1264,6140,訊達,OTC
s1265,6141,柏承,TSE
s1266,6142,友勁,TSE
s1267,6143,振曜,OTC
s1268,6144,得利影,OTC
s1269,6146,耕興,OTC
s1270,6147,頎邦,OTC
s1271,6148,驊宏資,OTC
s1272,6150,撼訊,OTC
s1273,6151,晉倫,OTC
s1274,6152,百一,TSE
s1275,6153,嘉聯益,TSE
s1276,6154,順發,OTC
s1277,6155,鈞寶,TSE
s1278,6156,松上,OTC
s1279,6158,禾昌,OTC
s1280,6160,欣技,OTC
s1281,6161,捷波,OTC
s1282,6163,華電網,OTC
s1283,6164,華興,TSE
s1284,6165,浪凡,TSE
s1285,6166,凌華,TSE
s1286,6167,久正,OTC
s1287,6168,宏齊,TSE
s1288,6169,昱泉,OTC
s1289,6170,統振,OTC
s1290,6171,大城地產,OTC
s1291,6173,信昌電,OTC
s1292,6174,安碁,OTC
s1293,6175,立敦,OTC
s1294,6176,瑞儀,TSE
s1295,6177,達麗,TSE
s1296,6179,亞通,OTC
s1297,6180,橘子,OTC
s1298,6182,合晶,OTC
s1299,6183,關貿,TSE
s1300,6184,大豐電,TSE
s1301,6185,幃翔,OTC
s1302,6186,新潤,OTC
s1303,6187,萬潤,OTC
s1304,6188,廣明,OTC
s1305,6189,豐藝,TSE
s1306,6190,萬泰科,OTC
s1307,6191,精成科,TSE
s1308,6192,巨路,TSE
s1309,6194,育富,OTC
s1310,6195,詩肯,OTC
s1311,6196,帆宣,TSE
s1312,6197,佳必琪,TSE
s1313,6198,瑞築,OTC
s1314,6199,天品,OTC
s1315,6201,亞弘電,TSE
s1316,6202,盛群,TSE
s1317,6203,海韻電,OTC
s1318,6204,艾華,OTC
s1319,6205,詮欣,TSE
s1320,6206,飛捷,TSE
s1321,6207,雷科,OTC
s1322,6208,日揚,OTC
s1323,6209,今國光,TSE
s1324,6210,慶生,OTC
s1325,6212,理銘,OTC
s1326,6213,聯茂,TSE
s1327,6214,精誠,TSE
s1328,6215,和椿,TSE
s1329,6216,居易,TSE
s1330,6217,中探針,OTC
s1331,6218,豪勉,OTC
s1332,6219,富旺,OTC
s1333,6220,岳豐,OTC
s1334,6221,晉泰,OTC
s1335,6222,上揚,OTC
s1336,6223,旺矽,OTC
s1337,6224,聚鼎,TSE
s1338,6225,天瀚,TSE
s1339,6226,光鼎,TSE
s1340,6227,茂綸,OTC
s1341,6228,全譜,OTC
s1342,6229,研通,OTC
s1343,6230,尼得科超眾,TSE
s1344,6231,系微,OTC
s1345,6233,旺玖,OTC
s1346,6234,高僑,OTC
s1347,6235,華孚,TSE
s1348,6236,中湛,OTC
s1349,6237,驊訊,OTC
s1350,6239,力成,TSE
s1351,6240,松崗,OTC
s1352,6241,易通展,OTC
s1353,6242,立康,OTC
s1354,6243,迅杰,TSE
s1355,6244,茂迪,OTC
s1356,6245,立端,OTC
s1357,6246,臺龍,OTC
s1358,6248,沛波,OTC
s1359,6257,矽格,TSE
s1360,6259,百徽,OTC
s1361,6261,久元,OTC
s1362,6263,普萊德,OTC
s1363,6264,富裔,OTC
s1364,6265,方土昶,OTC
s1365,6266,泰詠,OTC
s1366,6269,台郡,TSE
s1367,6270,倍微,OTC
s1368,6271,同欣電,TSE
s1369,6274,台燿,OTC
s1370,6275,元山,OTC
s1371,6276,安鈦克,OTC
s1372,6277,宏正,TSE
s1373,6278,台表科,TSE
s1374,6279,胡連,OTC
s1375,6281,全國電,TSE
s1376,6282,康舒,TSE
s1377,6283,淳安,TSE
s1378,6284,佳邦,OTC
s1379,6285,啟碁,TSE
s1380,6287,元隆,OTC
s1381,6288,聯嘉,TSE
s1382,6290,良維,OTC
s1383,6291,沛亨,OTC
s1384,6292,迅德,OTC
s1385,6294,智基,OTC
s1386,6404,通訊-KY,OTC
s1387,6405,悅城,TSE
s1388,6409,旭隼,TSE
s1389,6411,晶焱,OTC
s1390,6412,群電,TSE
s1391,6414,樺漢,TSE
s1392,6415,矽力*-KY,TSE
s1393,6416,瑞祺電通,TSE
s1394,6417,韋僑,OTC
s1395,6418,詠昇,OTC
s1396,6419,京晨科,OTC
s1397,6425,易發,OTC
s1398,6426,統新,TSE
s1399,6431,光麗-KY,TSE
s1400,6432,今展科,OTC
s1401,6435,大中,OTC
s1402,6438,迅得,TSE
s1403,6441,廣錠,OTC
s1404,6442,光聖,TSE
s1405,6443,元晶,TSE
s1406,6446,藥華藥,TSE
s1407,6449,鈺邦,TSE
s1408,6451,訊芯-KY,TSE
s1409,6456,GIS-KY,TSE
s1410,6457,紘康,OTC
s1411,6461,益得,OTC
s1412,6462,神盾,OTC
s1413,6464,台數科,TSE
s1414,6465,威潤,OTC
s1415,6469,大樹,OTC
s1416,6470,宇智,OTC
s1417,6472,保瑞,TSE
s1418,6477,安集,TSE
s1419,6482,弘煜科,OTC
s1420,6485,點序,OTC
s1421,6486,互動,OTC
s1422,6488,環球晶,OTC
s1423,6491,晶碩,TSE
s1424,6492,生華科,OTC
s1425,6494,九齊,OTC
s1426,6496,科懋,OTC
s1427,6499,益安,OTC
s1428,6504,南六,TSE
s1429,6505,台塑化,TSE
s1430,6506,雙邦,OTC
s1431,6508,惠光,OTC
s1432,6509,聚和,OTC
s1433,6510,精測,OTC
s1434,6512,啟發電,OTC
s1435,6514,芮特-KY,OTC
s1436,6515,穎崴,TSE
s1437,6516,勤崴國際,OTC
s1438,6517,保勝光學,OTC
s1439,6523,達爾膚,OTC
s1440,6525,捷敏-KY,TSE
s1441,6526,達發,TSE
s1442,6527,明達醫,OTC
s1443,6530,創威,OTC
s1444,6531,愛普*,TSE
s1445,6532,瑞耘,OTC
s1446,6533,晶心科,TSE
s1447,6535,順藥,OTC
s1448,6538,倉和,OTC
s1449,6541,泰福-KY,TSE
s1450,6542,隆中,OTC
s1451,6546,正基,OTC
s1452,6547,高端疫苗,OTC
s1453,6548,長科*,OTC
s1454,6550,北極星藥業-KY,TSE
s1455,6552,易華電,TSE
s1456,6556,勝品,OTC
s1457,6558,興能高,TSE
s1458,6560,欣普羅,OTC
s1459,6561,是方,OTC
s1460,6568,宏觀,OTC
s1461,6569,醫揚,OTC
s1462,6570,維田,OTC
s1463,6573,虹揚-KY,TSE
s1464,6574,霈方,OTC
s1465,6576,逸達,OTC
s1466,6577,勁豐,OTC
s1467,6578,達邦蛋白,OTC
s1468,6579,研揚,TSE
s1469,6581,鋼聯,TSE
s1470,6582,申豐,TSE
s1471,6584,南俊國際,OTC
s1472,6585,鼎基,TSE
s1473,6588,東典,OTC
s1474,6589,台康生技,OTC
s1475,6590,普鴻,OTC
s1476,6591,動力-KY,TSE
s1477,6592,和潤企業,TSE
s1478,6593,台灣銘板,OTC
s1479,6596,寬宏藝術,OTC
s1480,6598,ABC-KY,TSE
s1481,6603,富強鑫,OTC
s1482,6605,帝寶,TSE
s1483,6606,建德工業,TSE
s1484,6609,瀧澤科,OTC
s1485,6612,奈米醫材,OTC
s1486,6613,朋億*,OTC
s1487,6615,慧智,OTC
s1488,6616,特昇-KY,OTC
s1489,6624,萬年清,OTC
s1490,6625,必應,TSE
s1491,6629,泰金-KY,OTC
s1492,6640,均華,OTC
s1493,6641,基士德-KY,TSE
s1494,6642,富致,OTC
s1495,6643,M31,OTC
s1496,6649,台生材,OTC
s1497,6651,全宇昕,OTC
s1498,6654,天正國際,OTC
s1499,6655,科定,TSE
s1500,6657,華安,TSE
s1501,6658,聯策,TSE
s1502,6661,威健生技,OTC
s1503,6662,樂斯科,OTC
s1504,6664,群翊,OTC
s1505,6666,羅麗芬-KY,TSE
s1506,6667,信紘科,OTC
s1507,6668,中揚光,TSE
s1508,6669,緯穎,TSE
s1509,6670,復盛應用,TSE
s1510,6671,三能-KY,TSE
s1511,6672,騰輝電子-KY,TSE
s1512,6674,鋐寶科技,TSE
s1513,6679,鈺太,OTC
s1514,6680,鑫創電子,OTC
s1515,6683,雍智科技,OTC
s1516,6684,安格,OTC
s1517,6689,伊雲谷,TSE
s1518,6690,安碁資訊,OTC
s1519,6691,洋基工程,TSE
s1520,6692,進能服,OTC
s1521,6693,廣閎科,OTC
s1522,6695,芯鼎,TSE
s1523,6697,東捷資訊,OTC
s1524,6698,旭暉應材,TSE
s1525,6703,軒郁,OTC
s1526,6706,惠特,TSE
s1527,6708,天擎,OTC
s1528,6712,長聖,OTC
s1529,6715,嘉基,TSE
s1530,6716,應廣,OTC
s1531,6719,力智,TSE
s1532,6721,信實,OTC
s1533,6727,亞泰金屬,OTC
s1534,6728,上洋,OTC
s1535,6732,昇佳電子,OTC
s1536,6733,博晟生醫,OTC
s1537,6735,美達科技,OTC
s1538,6741,91APP*-KY,OTC
s1539,6742,澤米,TSE
s1540,6743,安普新,TSE
s1541,6747,亨泰光,OTC
s1542,6751,智聯服務,OTC
s1543,6752,叡揚,OTC
s1544,6753,龍德造船,TSE
s1545,6754,匯僑設計,TSE
s1546,6756,威鋒電子,TSE
s1547,6761,穩得,OTC
s1548,6762,達亞,OTC
s1549,6763,綠界科技,OTC
s1550,6767,台微醫,OTC
s1551,6768,志強-KY,TSE
s1552,6770,力積電,TSE
s1553,6776,展碁國際,TSE
s1554,6781,AES-KY,TSE
s1555,6782,視陽,TSE
s1556,6785,昱展新藥,OTC
s1557,6788,華景電,OTC
s1558,6789,采鈺,TSE
s1559,6790,永豐實,TSE
s1560,6791,虎門科技,OTC
s1561,6792,詠業,TSE
s1562,6796,晉弘,TSE
s1563,6799,來頡,TSE
s1564,6803,崑鼎,OTC
s1565,6804,明係,OTC
s1566,6805,富世達,TSE
s1567,6806,森崴能源,TSE
s1568,6807,峰源-KY,TSE
s1569,6811,宏碁資訊,OTC
s1570,6821,聯寶,OTC
s1571,6823,濾能,OTC
s1572,6829,千附精密,OTC
s1573,6830,汎銓,TSE
s1574,6834,天二科技,TSE
s1575,6835,圓裕,TSE
s1576,6840,東研信超,OTC
s1577,6841,長佳智能,OTC
s1578,6843,進典,OTC
s1579,6846,綠茵,OTC
s1580,6855,數泓科,OTC
s1581,6856,鑫傳,OTC
s1582,6859,伯特光,OTC
s1583,6861,睿生光電,TSE
s1584,6863,永道-KY,TSE
s1585,6865,偉康科技,OTC
s1586,6870,騰雲,OTC
s1587,6874,倍力,OTC
s1588,6877,鏵友益,OTC
s1589,6894,衛司特,OTC
s1590,6895,宏碩系統,OTC
s1591,6901,鑽石投資,TSE
s1592,6904,伯鑫,OTC
s1593,6906,現觀科,TSE
s1594,6916,華凌,TSE
s1595,6922,宸曜,OTC
s1596,6933,AMAX-KY,TSE
s1597,6937,天虹,TSE
s1598,7402,邑錡,OTC
s1599,7556,意德士科技,OTC
s1600,8011,台通,TSE
s1601,8016,矽創,TSE
s1602,8021,尖點,TSE
s1603,8024,佑華,OTC
s1604,8027,鈦昇,OTC
s1605,8028,昇陽半導體,TSE
s1606,8032,光菱,OTC
s1607,8033,雷虎,TSE
s1608,8034,榮群,OTC
s1609,8038,長園科,OTC
s1610,8039,台虹,TSE
s1611,8040,九暘,OTC
s1612,8042,金山電,OTC
s1613,8043,蜜望實,OTC
s1614,8044,網家,OTC
s1615,8046,南電,TSE
s1616,8047,星雲,OTC
s1617,8048,德勝,OTC
s1618,8049,晶采,OTC
s1619,8050,廣積,OTC
s1620,8054,安國,OTC
s1621,8059,凱碩,OTC
s1622,8064,東捷,OTC
s1623,8066,來思達,OTC
s1624,8067,志旭,OTC
s1625,8068,全達,OTC
s1626,8069,元太,OTC
s1627,8070,長華*,TSE
s1628,8071,能率網通,OTC
s1629,8072,陞泰,TSE
s1630,8074,鉅橡,OTC
s1631,8076,伍豐,OTC
s1632,8077,洛碁,OTC
s1633,8080,印鉐,OTC
s1634,8081,致新,TSE
s1635,8083,瑞穎,OTC
s1636,8084,巨虹,OTC
s1637,8085,福華,OTC
s1638,8086,宏捷科,OTC
s1639,8087,華鎂鑫,OTC
s1640,8088,品安,OTC
s1641,8089,康全電訊,OTC
s1642,8091,翔名,OTC
s1643,8092,建暐,OTC
s1644,8093,保銳,OTC
s1645,8096,擎亞,OTC
s1646,8097,常珵,OTC
s1647,8099,大世科,OTC
s1648,8101,華冠,TSE
s1649,8103,瀚荃,TSE
s1650,8104,錸寶,TSE
s1651,8105,凌巨,TSE
s1652,8107,大億金茂,OTC
s1653,8109,博大,OTC
s1654,8110,華東,TSE
s1655,8111,立碁,OTC
s1656,8112,至上,TSE
s1657,8114,振樺電,TSE
s1658,8121,越峰,OTC
s1659,8131,福懋科,TSE
s1660,8147,正淩,OTC
s1661,8150,南茂,TSE
s1662,8155,博智,OTC
s1663,8163,達方,TSE
s1664,8171,天宇,OTC
s1665,8176,智捷,OTC
s1666,8182,加高,OTC
s1667,8183,精星,OTC
s1668,8201,無敵,TSE
s1669,8210,勤誠,TSE
s1670,8213,志超,TSE
s1671,8215,明基材,TSE
s1672,8222,寶一,TSE
s1673,8227,巨有科技,OTC
s1674,8234,新漢,OTC
s1675,8240,華宏,OTC
s1676,8249,菱光,TSE
s1677,8255,朋程,OTC
s1678,8261,富鼎,TSE
s1679,8271,宇瞻,TSE
s1680,8277,商丞,OTC
s1681,8279,生展,OTC
s1682,8284,三竹,OTC
s1683,8289,泰藝,OTC
s1684,8291,尚茂,OTC
s1685,8299,群聯,OTC
s1686,8341,日友,TSE
s1687,8342,益張,OTC
s1688,8349,恒耀,OTC
s1689,8354,冠好,OTC
s1690,8358,金居,OTC
s1691,8367,建新國際,TSE
s1692,8374,羅昇,TSE
s1693,8383,千附,OTC
s1694,8390,金益鼎,OTC
s1695,8401,白紗科,OTC
s1696,8403,盛弘,OTC
s1697,8404,百和興業-KY,TSE
s1698,8409,商之器,OTC
s1699,8410,森田,OTC
s1700,8411,福貞-KY,TSE
s1701,8415,大國鋼,OTC
s1702,8416,實威,OTC
s1703,8420,明揚,OTC
s1704,8421,旭源,OTC
s1705,8422,可寧衛,TSE
s1706,8423,保綠-KY,OTC
s1707,8424,惠普,OTC
s1708,8426,紅木-KY,OTC
s1709,8429,金麗-KY,TSE
s1710,8431,匯鑽科,OTC
s1711,8432,東生華,OTC
s1712,8433,弘帆,OTC
s1713,8435,鉅邁,OTC
s1714,8436,大江,OTC
s1715,8437,大地-KY,OTC
s1716,8438,昶昕,TSE
s1717,8440,綠電,OTC
s1718,8442,威宏-KY,TSE
s1719,8443,阿瘦,TSE
s1720,8444,綠河-KY,OTC
s1721,8446,華研,OTC
s1722,8450,霹靂,OTC
s1723,8454,富邦媒,TSE
s1724,8455,大拓-KY,OTC
s1725,8462,柏文,TSE
s1726,8463,潤泰材,TSE
s1727,8464,億豐,TSE
s1728,8466,美吉吉-KY,TSE
s1729,8467,波力-KY,TSE
s1730,8472,夠麻吉,OTC
s1731,8473,山林水,TSE
s1732,8476,台境,TSE
s1733,8477,創業家,OTC
s1734,8478,東哥遊艇,TSE
s1735,8481,政伸,TSE
s1736,8482,商億-KY,TSE
s1737,8488,吉源-KY,TSE
s1738,8489,三貝德,OTC
s1739,8499,鼎炫-KY,TSE
s1740,8905,裕國,OTC
s1741,8906,花王,OTC
s1742,8908,欣雄,OTC
s1743,8916,光隆,OTC
s1744,8917,欣泰,OTC
s1745,8921,沈氏,OTC
s1746,8923,時報,OTC
s1747,8924,大田,OTC
s1748,8926,台汽電,TSE
s1749,8927,北基,OTC
s1750,8928,鉅明,OTC
s1751,8929,富堡,OTC
s1752,8930,青鋼,OTC
s1753,8931,大汽電,OTC
s1754,8932,智通,OTC
s1755,8933,愛地雅,OTC
s1756,8935,邦泰,OTC
s1757,8936,國統,OTC
s1758,8937,合騏,OTC
s1759,8938,明安,OTC
s1760,8940,新天地,TSE
s1761,8941,關中,OTC
s1762,8942,森鉅,OTC
s1763,8996,高力,TSE
s1764,9103,美德醫療-DR,TSE
s1765,910322,康師傅-DR,TSE
s1766,9105,泰金寶-DR,TSE
s1767,910861,神州-DR,TSE
s1768,9110,越南控-DR,TSE
s1769,911608,明輝-DR,TSE
s1770,911622,泰聚亨-DR,TSE
s1771,911868,同方友友-DR,TSE
s1772,912000,晨訊科-DR,TSE
s1773,9136,巨騰-DR,TSE
s1774,9802,鈺齊-KY,TSE
s1775,9902,台火,TSE
s1776,9904,寶成,TSE
s1777,9905,大華,TSE
s1778,9906,欣巴巴,TSE
s1779,9907,統一實,TSE
s1780,9908,大台北,TSE
s1781,9910,豐泰,TSE
s1782,9911,櫻花,TSE
s1783,9912,偉聯,TSE
s1784,9914,美利達,TSE
s1785,9917,中保科,TSE
s1786,9918,欣天然,TSE
s1787,9919,康那香,TSE
s1788,9921,巨大,TSE
s1789,9924,福興,TSE
s1790,9925,新保,TSE
s1791,9926,新海,TSE
s1792,9927,泰銘,TSE
s1793,9928,中視,TSE
s1794,9929,秋雨,TSE
s1795,9930,中聯資源,TSE
s1796,9931,欣高,TSE
s1797,9933,中鼎,TSE
s1798,9934,成霖,TSE
s1799,9935,慶豐富,TSE
s1800,9937,全國,TSE
s1801,9938,百和,TSE
s1802,9939,宏全,TSE
s1803,9940,信義,TSE
s1804,9941,裕融,TSE
s1805,9942,茂順,TSE
s1806,9943,好樂迪,TSE
s1807,9944,新麗,TSE
s1808,9945,潤泰新,TSE
s1809,9946,三發地產,TSE
s1810,9949,琉園,OTC
s1811,9950,萬國通,OTC
s1812,9951,皇田,OTC
s1813,9955,佳龍,TSE
s1814,9958,世紀鋼,TSE
s1815,9960,邁達康,OTC
s1816,9962,有益,OTC
s1817,8406,金可-KY,OTC
s1818,6251,定穎,TSE
s1819,6890,來億-KY,TSE