,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T0102,1513,1560,1590,2049,2231,2233,2351,2454,2606,2707,3022,3218,3293,3443,4147,4164,4541,4572,5425,6235,6245,6271,6274,6505,8255,8996,9802,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1513,1560,2368,2707,3003,3037,3044,3293,3443,3515,3529,3653,3661,6138,6143,6235,6531,6643,6669,6683,8028,8046,8069,8155,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,2059,2330,2351,3008,3035,3533,3653,3661,3665,4147,4541,4572,5269,5289,5425,6235,6274,6669,8210,8255,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,2049,2059,2313,2330,2337,2408,2454,2603,2912,3037,3624,4147,4746,5607,6235,6589,6643,6683,8996,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1102,1216,1513,1560,1590,2049,2231,2233,2351,2454,2606,2707,3022,3218,3293,4147,4164,4541,4572,6235,6245,6271,6505,8255,8996,9802,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1503,1504,1513,1519,1584,1796,2382,2618,2634,2640,3017,3231,3260,4175,5009,5287,5289,5371,5903,6469,6472,6561,6803,6811,6829,8210,8222,8279,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1503,1504,1513,1519,1584,1795,1796,2301,2352,2382,2618,2634,2886,3017,3231,3260,4175,5009,5289,5371,6469,6472,6561,6803,6811,6829,8210,8222,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1513,1519,2303,2308,2317,2330,2345,2368,2376,2379,2382,2383,2408,2412,2454,2455,3017,3034,3037,3231,3443,3533,3653,3680,3711,5009,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1504,1513,1519,2303,2308,2317,2330,2345,2368,2376,2379,2382,2383,2412,2454,2455,2881,2882,2886,3017,3034,3037,3231,3443,3529,3653,3680,5009,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1504,1513,1795,2014,2308,2330,2337,2345,2352,2368,2376,2382,2383,2449,2454,3017,3034,3037,3231,3374,3443,3515,3529,3533,3653,3711,5009,5347,6223,6285,6515,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1477,1590,2002,2006,2204,2211,2603,2618,2707,2723,2727,2912,3708,5871,6505,8926,8938,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1476,2301,2303,2308,2317,2330,2345,2368,2376,2377,2382,2408,2454,2618,2707,2881,2885,2886,2891,3008,3023,3037,3529,3533,3653,3661,3665,3711,4966,5347,5425,5483,5876,6239,6285,6488,6505,6669,6679,8046,8069,9910
T0410,2301,2303,2308,2317,2327,2330,2345,2368,2379,2383,2395,2408,2412,2454,3008,3023,3037,3443,3529,3533,3653,3661,3711,4919,4966,5269,5274,5425,6121,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1476,2303,2308,2317,2327,2330,2345,2351,2368,2376,2377,2382,2408,2707,2723,2881,2885,2891,3008,3023,3037,3529,3533,3653,3661,3711,4966,5269,5425,5483,5876,6239,6279,6285,6488,6679,8046,8069,9910,NA,NA,NA,NA
T0502,1476,1504,1513,1795,2308,2313,2330,2345,2368,2376,2382,2383,2408,3008,3017,3034,3035,3037,3260,3443,3529,3533,3583,3653,3680,4966,5269,5274,6138,6472,6515,6643,6669,8069,8299,9910,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1504,2204,2308,2330,2345,2368,2376,2382,2408,3034,3037,3217,3443,3529,3533,3653,3680,4755,4966,5269,5274,6279,6472,6515,6643,6669,6781,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1504,2308,2330,2345,2368,2376,2379,2382,2618,3034,3037,3260,3443,3529,3533,3653,3680,4966,5269,5289,6472,6515,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1519,1795,2382,3038,3078,3217,3218,3231,3293,3324,3443,3529,3583,3587,3653,3680,4164,4966,5009,5274,5289,5347,5425,6279,6472,6515,6612,6643,6669,6679,6811,6830,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1504,2303,2308,2330,2357,2368,2377,2382,2408,2421,3017,3034,3037,3231,3443,3533,3583,3653,3680,3711,4966,5269,5274,6143,6472,6488,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,1504,2308,2330,2345,2368,2376,2379,2382,2618,3034,3037,3260,3443,3529,3533,3653,3680,4966,5269,5274,5289,5425,6472,6515,6643,6669,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1477,1513,1519,2308,2330,2345,2360,2368,2376,2379,2382,2408,2409,2454,3017,3034,3037,3231,3260,3443,3529,3533,3653,3680,4919,5274,6531,6643,6669,6679,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,1519,2204,2308,2330,2345,2368,2376,2382,2408,3017,3034,3037,3231,3443,3529,3533,3653,3680,4966,5274,6203,6279,6472,6515,6643,6669,6679,6781,8069,8299,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1477,1513,2002,2301,2303,2308,2313,2330,2345,2357,2376,2377,2379,2382,2383,2412,2421,2454,3017,3034,3037,3231,3596,3711,5347,5425,6239,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,1536,2059,2303,2308,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3152,3376,3406,3711,5269,5289,5347,6121,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA,NA
T0605,1536,2059,2303,2308,2317,2327,2330,2344,2347,2379,2382,2408,2454,2455,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,5269,5289,5347,6121,6271,6488,6510,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,1536,2059,2303,2308,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,2912,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,5269,5289,5347,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA
T0704,1504,2049,2308,2330,2345,2376,2379,2385,2395,2454,3017,3035,3218,3231,3443,3529,3533,3653,3661,5425,5904,6138,6274,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1504,1513,2308,2330,2345,2368,2376,2379,2383,2454,2618,2727,3017,3037,3218,3231,3293,3443,3529,3533,3653,3661,3680,5274,5904,6138,6781,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1513,2330,2345,2368,2383,2454,2618,3017,3035,3037,3218,3443,3529,3533,3653,3661,3680,6138,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,1513,2308,2330,2345,2368,2379,2454,2618,2707,2727,3017,3218,3231,3293,3443,3479,3529,3533,3653,3661,4572,5009,5274,5309,6138,6274,6412,6515,6669,8046,8069,8114,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,2049,2204,2308,2317,2327,2330,2344,2376,2382,2408,3017,3034,3037,3231,3260,3374,3443,3529,3533,3653,3661,4770,4966,5274,6409,6510,6531,6719,6781,8046,8069,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1795,2059,2301,2303,2308,2317,2330,2345,2368,2376,2377,2382,2408,2454,2881,2882,3008,3017,3034,3037,3443,3529,3533,3653,3680,4551,5269,5274,5388,6515,6669,6719,6781,8069,8155,NA,NA,NA,NA,NA,NA,NA
T0806,2059,2204,2368,2376,2382,2383,2408,2421,3017,3037,3260,3324,3374,3443,3529,3587,3653,3675,3680,4147,5274,5289,6138,6417,6446,6510,6589,6643,6679,6830,8046,8069,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2308,2327,2330,2376,2382,2408,3008,3017,3034,3037,3231,3260,3374,3443,3529,3533,3653,3661,4966,5274,6510,6531,6719,6781,8028,8046,8069,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1215,1477,2059,2201,2204,2207,2308,2327,2345,2368,2376,2382,2383,2408,2731,3008,3023,3037,3293,3374,3443,3529,3533,3653,3661,4770,5274,6417,6446,6491,6510,6531,6669,6679,6719,8046,8069,8086,8255,NA,NA,NA,NA
T0812,1301,1605,1795,2002,2031,2204,2308,2356,2408,2409,2610,2618,2634,2723,2731,2882,2886,2912,3008,3443,3481,3533,3587,4743,4766,4770,5009,5269,5871,6121,6285,6505,6669,8069,9910,9958,NA,NA,NA,NA,NA,NA,NA
T0901,1513,1519,1795,2204,2301,2330,2368,2376,2382,2383,2748,3008,3017,3034,3037,3078,3217,3231,3324,3443,3529,3533,3653,3661,3675,3680,5289,6223,6472,6531,6643,6679,8069,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1477,1503,1513,1519,2308,2376,2382,2383,2618,2748,3017,3037,3231,3260,3289,3443,3515,3653,3661,3665,6472,6643,6669,6781,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1477,1513,1519,1795,2204,2301,2330,2345,2368,2376,2382,2383,2618,3008,3017,3231,3324,3443,3529,3533,3587,3653,3661,3680,5009,6472,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,2027,2204,2308,2344,2351,2368,2382,2723,3034,3088,3479,3533,3653,3661,3711,4966,5009,5274,6279,6472,6669,6830,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1476,1503,1519,2308,2368,2376,2382,2383,2727,2748,3017,3038,3078,3231,3289,3443,3653,3661,3680,5274,5309,6472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1519,2301,2308,2330,2356,2368,2376,2377,2382,3008,3017,3231,3324,3443,3515,3529,3533,3653,3661,5274,5289,6223,6643,6830,8069,8210,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1476,1519,2330,2368,2376,2382,2455,3008,3017,3217,3231,3260,3289,3443,3529,3533,3653,3661,3680,5009,5274,5289,6472,6669,6829,8069,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1476,1513,1519,2204,2308,2330,2351,2368,2376,2382,2383,2618,2748,3008,3017,3034,3443,3515,3533,3592,3653,3680,5009,6285,6643,6669,6679,6732,6799,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0922,1519,2059,2204,2330,2368,2376,2382,2707,3008,3017,3217,3231,3260,3289,3443,3515,3533,3653,3661,3665,5274,5289,6472,8069,8210,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1001,1504,2031,2049,2201,2308,2330,2368,2376,2383,2454,2753,3017,3037,3231,3443,3529,3533,3653,3661,3711,6274,6643,6679,8069,8299,8436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1004,2031,2308,2330,2345,2382,2707,2731,2753,3017,3035,3037,3289,3533,3653,3661,4919,5009,5274,5347,5425,6643,6679,6732,6782,8299,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1005,1504,1590,2308,2317,2330,2345,2368,2376,2382,2383,2449,2645,2707,2732,2753,3017,3037,3231,3443,3529,3533,3653,3661,4919,4966,5009,5269,5274,5347,6146,6643,6679,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1010,1101,1504,1590,2031,2308,2330,2345,2368,2376,2382,2383,2454,2645,2731,2753,3008,3017,3023,3035,3231,3529,3533,3653,3661,4919,4966,5009,5269,5274,5347,6643,6679,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1011,1504,1513,1590,2308,2330,2345,2376,2382,2383,2455,2645,2707,2732,2753,3017,3037,3289,3443,3529,3653,3661,4966,5222,5274,5347,6245,6643,8069,8299,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1012,2308,2330,2368,2376,2382,2383,2454,3008,3017,3023,3035,3231,3529,3533,3653,3661,3711,4919,4966,5269,5274,5347,6643,6679,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1017,1101,1504,1590,2031,2049,2330,2368,2376,2383,2645,2707,2732,2753,3008,3017,3037,3231,3443,3529,3533,3653,3661,4966,5009,5274,5347,6274,6643,6679,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1089,1504,2308,2330,2345,2368,2376,2382,2383,2454,2645,2707,3005,3008,3017,3023,3034,3035,3037,3289,3529,3533,3653,3661,3711,4919,4966,5009,5274,5347,5425,6146,6643,6679,6806,8069,8299,NA,NA,NA,NA,NA,NA,NA
T1102,1101,1216,1303,1326,2002,2303,2308,2317,2330,2345,2379,2382,2395,2412,2454,2881,2882,2883,2884,2885,2886,2891,2892,2912,3008,3034,3037,3045,3711,5871,5880,6505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1104,1590,2303,2308,2317,2330,2345,2376,2379,2382,2395,2454,3008,3017,3023,3034,3035,3037,3045,3231,3443,3529,3653,3661,3680,3711,4904,4938,4966,5274,6415,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1111,1303,1476,1590,2002,2049,2308,2345,2376,2379,2382,2395,2881,2884,3008,3017,3023,3034,3035,3037,3218,3231,3443,3529,3653,3661,3665,3680,3711,4938,4966,5274,5347,5904,6409,6415,6669,8210,8299,8454,8464,9910,NA,NA
T1135,1303,1476,1590,2002,2303,2308,2330,2345,2376,2382,2395,2881,2882,2884,2886,2891,3008,3017,3023,3034,3035,3037,3218,3231,3443,3529,3653,3661,3680,3711,4938,4966,5274,5871,5904,6415,6669,8210,8299,8464,9910,NA,NA
T1201,1513,1795,2308,2330,2345,2368,2376,2383,2408,2634,2723,3008,3231,3260,3443,3481,3529,3665,3680,5222,6146,6214,6472,6643,6830,8069,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1405,1513,1720,2301,2308,2330,2360,2376,2383,2634,3014,3217,3443,3529,3587,3653,5009,5243,5289,6143,6279,6282,6679,6715,6781,6806,8255,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1407,2301,2308,2382,2421,3162,3217,3218,3231,3260,3264,3289,3376,3548,3587,3594,4105,4966,5009,5236,5347,5425,5439,6412,6531,6589,6679,6683,6741,6756,6781,8069,8086,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1513,1720,2301,2308,2330,2360,2376,2383,2634,3014,3217,3443,3529,3587,3653,5009,5243,5289,6143,6279,6282,6715,6781,6806,8255,8996,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,2049,2308,2330,2351,2376,2377,2412,2634,2723,2886,2892,3217,3443,3529,3653,3661,3665,4572,5234,5289,5483,6412,6491,6679,6806,8069,8255,8464,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
